"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"46",60,"1",33,"1","1","1","7","1",4000,"1","2","1","1","2","1",1800,"1","1","3",80,"3","1","1","1","5","1","2","5","7","7","7","7","7","5","1","3","2","1","PI","3","1","3","1","1","1","1","1","1","1","2","2","1","1","4","1","1","El Alto","24",1.66029585357411,"5"
"47",61,"1",22,"1","1","1","4","1",3000,"1","2","2","1","3","1",1400,"1","1","3",30,"4","1","1","1","5","5","5","1","1","1","1","7","1","1","1","6","1","1","ES","7","1","1","1","1","1","1","1","1","2","2","1","2","1","4","1","1","El Alto","24",1.66029585357411,"5"
"48",62,"1",31,"1","1","1","7","1",4500,"1","1","2","1","1","1",1500,"1","1","3",50,"5","1","1","1","1","1","1","1","3","3","1","7","5","1","2","7","1","1","PI","7","1","4","1","1","1","1","1","1","1","1","3","1","2","3","1","1","El Alto","24",1.66029585357411,"5"
"49",63,"1",17,"1","1","1","1","1",3500,"1","1","2","2","2","1",400,"1","1","1",10,"3","1","5","5","5","6","5","6","5","5","5","1","5","5","1","2","1","1","ES","6","1","2","1","1","1","2","2","2","2","2","2","2","2","6","1","1","El Alto","24",1.66029585357411,"2"
"50",64,"1",43,"1","2","1","5","1",5300,"1","2","1","1","2","1",700,"1","2","3",50,"3","1","1","1","1","1","6","2","2","2","1","2","2","6","1","7","2","1","PI","7","1","3","1","1","1","1","1","1","1","1","1","2","2","3","1","1","El Alto","24",1.66029585357411,"4"
"51",65,"1",16,"1","2","1","5","1",2300,"1","2","2","1","3","1",200,"1","1","1",20,"2","1","6","6","6","6","6","6","6","1","1","7","6","6","2","2","1","1","ES","7","1","3","1","1","1","1","2","1","1","1","1","2","2","5","1","1","El Alto","24",1.66029585357411,"4"
"52",66,"1",54,"1","1","1","7","1",1500,"1","1","1","1","1","1",1350,"1","1","2",120,"4","1","1","1","5","1","3","1","3","7","1","7","7","7","1","7","2","3","PI","7","1","3","1","1","1","1","1","1","1","1","2","1","1","6","1","1","El Alto","24",1.66029585357411,"5"
"53",67,"1",22,"1","2","1","3","1",3500,"1","2","1","1","2","1",800,"1","1","1",4,"4","1","1","1","1","1","1","2","1","3","1","7","1","1","2","2","2","1","CP","3","1","3","1","1","1","2","1","1","2","1","2","2","1","5","1","1","El Alto","24",1.66029585357411,"4"
"54",68,"1",44,"1","1","1","3","1",7000,"1","1","2","1","3","1",800,"1","1","2",200,"5","1","2","5","1","1","3","2","1","1","1","2","1","2","2","4","2","1","PI","7","1","3","1","1","1","1","1","1","2","2","2","1","2","4","1","1","El Alto","24",1.66029585357411,"5"
"55",69,"1",31,"1","2","1","4","1",2500,"1","2","2","1","3","1",600,"1","1","2",30,"3","3","3","4","4","3","5","2","3","2","3","4","3","6","1","7","1","2","PI","3","1","4","1","1","1","2","2","1","2","1","2","2","2","4","1","1","El Alto","24",1.66029585357411,"3"
"56",70,"1",16,"1","2","2","2","1",3000,"4","2","2","1","3","1",600,"1","1","1",30,"4","1","1","5","5","6","3","6","1","3","1","6","2","6","2","2","1","1","ES","3","1","2","1","1","1","2","2","1","2","1","1","1","2","4","1","1","El Alto","24",1.66029585357411,"2"
"57",71,"1",20,"1","2","1","4","1",2700,"1","2","2","1","3","1",650,"1","1","3",30,"4","1","6","4","5","3","3","6","1","3","1","7","5","7","1","6","1","1","ES","3","1","2","1","1","1","2","2","1","2","1","2","2","2","3","1","1","El Alto","24",1.66029585357411,"2"
"58",72,"1",40,"1","2","2","9","1",800,"1","2","2","1","3","1",800,"1","2","3",200,"5","1","5","5","5","5","5","3","5","3","5","2","1","6","1","6","2","1","CP","3","1","3","1","1","1","2","2","2","2","1","1","2","2","4","1","1","El Alto","24",1.66029585357411,"2"
"59",73,"1",16,"1","1","2","1","1",2000,"4","2","2","2","3","1",700,"1","1","1",10,"5","1","1","6","6","5","3","5","3","3","5","2","5","5","1","2","1","1","ES","3","2","2","1","1","1","2","2","2","2","2","1","2","2","4","1","1","El Alto","24",1.66029585357411,"1"
"60",74,"1",49,"1","1","2","1","1",2000,"4","2","2","2","3","1",400,"1","1","2",10,"5","1","3","5","7","7","6","5","5","6","5","6","6","6","2","6","3","1","CP","2","1","2","1","1","1","1","1","1","2","2","1","2","2","5","1","1","El Alto","24",1.66029585357411,"3"
"61",75,"1",27,"1","2","2","9","1",5000,"4","2","2","1","3","1",1000,"1","1","1",10,"4","1","1","5","5","6","5","5","4","5","5","4","4","6","2","6","2","1","AC","3","1","3","1","1","1","1","1","1","2","2","1","2","2","5","1","1","El Alto","24",1.66029585357411,"3"
"62",76,"1",16,"1","2","2","9","1",2000,"1","2","2","2","3","1",1400,"1","1","3",30,"5","1","1","3","3","1","3","1","2","1","1","1","2","7","1","2","1","1","ES","1","2","1","1","1","1","2","2","1","2","2","1","2","2","8","1","1","El Alto","24",1.66029585357411,"1"
"63",77,"1",31,"1","1","1","7","1",2500,"1","1","2","2","1","1",1600,"1","3","2",75,"4","1","5","5","5","6","6","5","5","5","5","5","5","6","2","6","2","1","AS","2","1","3","1","1","1","1","1","1","2","1","1","2","2","5","1","1","El Alto","24",1.66029585357411,"4"
"64",78,"1",33,"1","1","1","7","1",4000,"1","2","2","1","1","1",600,"1","1","1",80,"3","1","1","1","5","1","3","1","3","1","1","4","2","2","1","7","2","1","AS","7","1","3","1","1","1","1","1","1","2","1","2","2","2","5","1","1","El Alto","24",1.66029585357411,"4"
"65",79,"1",14,"1","2","2","3","1",1100,"4","2","2","1","3","1",3500,"1","1","3",5,"3","1","1","5","5","5","4","5","5","1","3","5","5","6","2","2","1","1","ES","2","1","1","1","1","1","1","2","1","2","2","1","1","2","5","1","1","El Alto","24",1.66029585357411,"3"
"66",80,"1",29,"1","2","1","2","1",1200,"1","2","2","2","3","1",1600,"1","2","2",30,"4","1","1","4","5","5","5","6","1","2","7","2","3","5","1","3","2","2","AS","3","1","2","1","1","1","2","2","1","2","1","1","2","2","8","1","1","El Alto","24",1.66029585357411,"2"
"67",81,"1",22,"1","2","1","5","1",1400,"3","2","2","1","1","1",600,"1","1","3",20,"3","1","5","1","5","5","5","7","7","7","3","2","4","6","1","3","1","1","AS","1","2","1","1","1","1","2","2","1","2","1","1","2","2","6","1","1","La Paz","33",1.66029585357411,"2"
"68",82,"1",14,"1","1","2","2","1",600,"4","2","1","1","3","2",900,"5","1","1",30,"1","1","1","1","1","1","4","3","2","3","2","6","1","1","1","2","1","1","ES","3","1","2","1","1","1","2","1","1","2","2","2","2","2","4","1","1","La Paz","33",1.66029585357411,"2"
