"","NUMBOL","Tipo","P1","P2","P4","P6","P10","P12","P14","P15A","P16","P17","P20","P23","P28","P30","P31A","P32","P33","P34","P35","P36A","P129A","P130A","P131A","P132A","P133A","P134","P135","P136","P137","P138","P139","P140","P148","P149","P150","P151","P152","P153","P154A","P155","P156A","P156B","P156C","P156D","P156E","P156F","P156G","P156H","P156I","P156J","P156K","P157","P158","P159","P160","CodP160","Ponderador5536","Nse"
"927",10606,"1",38,"1","1","2","8","1",2350,"1","2","2","1","3","1",1300,"1","1","3",55,"4","1","1","1","5","5","3","1","2","1","1","6","3","3","2","3","2","1","EM","4","1","2","1","1","1","2","2","1","2","1","2","2","2","2","3","1","Cochabamba","17",1.16742277433498,"2"
"928",10611,"1",22,"1","2","1","3","1",2700,"1","2","2","1","2","1",499,"1","1","1",30,"5","1","1","1","1","1","3","1","3","1","1","5","3","1","2","3","1","1","ES","2","4","2","1","1","1","2","2","2","2","1","2","2","1","8","4","2","Warnes","95",1.48664897206359,"3"
"929",10612,"1",27,"1","2","2","2","1",3400,"4","1","2","1","3","1",1400,"1","1","1",60,"5","1","1","1","5","6","6","5","1","1","1","1","1","6","1","6","1","1","NP","2","2","3","1","1","1","1","2","1","2","1","1","2","2","4","4","2","Warnes","95",1.48664897206359,"3"
"930",10613,"1",28,"1","2","2","5","1",1700,"1","2","2","1","3","1",1200,"1","1","1",100,"3","1","5","5","6","1","1","5","1","1","1","1","1","1","1","6","1","1","AS","6","1","2","1","1","1","2","2","2","2","1","1","2","2","1","4","2","Warnes","95",1.48664897206359,"1"
"931",10614,"1",31,"1","2","2","7","1",2900,"1","1","2","1","3","1",1200,"1","2","3",220,"3","1","1","1","1","1","1","6","1","1","1","1","1","1","2","3","1","1","CP","2","1","2","1","1","1","1","2","1","2","2","1","2","2","3","4","2","Warnes","95",1.48664897206359,"2"
"932",10615,"1",22,"1","2","1","4","1",1100,"1","2","2","1","2","1",600,"1","1","1",150,"4","1","1","6","6","1","3","6","1","1","3","2","1","1","2","6","2","1","AC","2","1","3","1","1","1","2","2","2","2","2","1","2","2","6","4","2","Warnes","95",1.48664897206359,"2"
"933",10617,"1",21,"1","2","2","9","1",1200,"1","2","2","2","3","1",1800,"1","1","3",300,"3","1","1","1","6","1","1","6","1","3","3","1","6","6","2","4","2","1","AC","2","1","2","1","1","1","2","2","2","2","2","1","2","2","7","4","2","Warnes","95",1.48664897206359,"1"
"934",10618,"1",24,"1","2","2","9","1",3000,"1","2","2","1","3","1",1300,"1","1","3",100,"4","1","1","5","5","5","3","5","1","1","1","1","1","6","2","4","1","1","AC","3","1","2","1","2","1","2","1","2","2","2","1","2","2","6","4","2","Warnes","95",1.48664897206359,"2"
"935",10619,"1",35,"1","2","1","1","1",1500,"1","1","2","2","3","1",3300,"1","1","1",120,"3","1","1","1","1","1","5","6","1","1","1","1","1","6","1","4","1","1","NP","4","1","3","1","1","1","1","1","1","2","2","2","2","2","6","4","2","Warnes","95",1.48664897206359,"4"
"936",10620,"1",42,"1","2","1","9","1",1100,"1","1","2","2","3","1",100,"1","1","1",100,"4","1","1","1","6","1","3","6","2","3","3","2","1","6","2","7","2","1","AC","4","1","3","1","1","1","1","1","1","2","1","2","1","1","4","4","2","Warnes","95",1.48664897206359,"5"
